"","subject_ids","user_name","classification_id","workflow_version","task_index","task","task_label","value","total_submissions","submission_index","choice","how_many","young","behavior_EATING","behavior_INTERACTING","behavior_MOVING","behavior_RESTING","behavior_STANDING","empty"
"28",10476515,"Steven_D_Mullis",60495094,307.77,1,"T3",NA,"list(list(choice = ""GIRAFFE"", answers = list(HOWMANY = ""2"", WHATBEHAVIORSDOYOUSEE = list(""STANDING"", ""MOVING"", ""EATING""), ARETHEREANYYOUNGPRESENT = ""NO""), filters = list()))",1,1,"GIRAFFE","2","NO",1,0,1,0,1,NA
"29",10476559,"Steven_D_Mullis",60495131,307.77,1,"T3",NA,"list(list(choice = ""IMPALA"", answers = list(HOWMANY = ""2"", WHATBEHAVIORSDOYOUSEE = list(""RESTING"", ""MOVING"", ""STANDING""), ARETHEREANYYOUNGPRESENT = ""NO""), filters = list()))",1,1,"IMPALA","2","NO",0,0,1,1,1,NA
"30",10431370,"Steven_D_Mullis",60495142,307.77,1,"T3",NA,"list(list(choice = ""ZEBRA"", answers = list(HOWMANY = ""1"", WHATBEHAVIORSDOYOUSEE = list(""STANDING"", ""EATING""), ARETHEREANYYOUNGPRESENT = ""NO""), filters = list()))",1,1,"ZEBRA","1","NO",1,0,0,0,1,NA
"31",10454177,"Steven_D_Mullis",60495232,307.77,1,"T3",NA,"list(list(choice = ""LIVESTOCK"", answers = list(HOWMANY = ""1150"", WHATBEHAVIORSDOYOUSEE = list(""STANDING"", ""MOVING"", ""EATING""), ARETHEREANYYOUNGPRESENT = ""NO""), filters = list()))",1,1,"LIVESTOCK","1150","NO",1,0,1,0,1,NA
"32",10457394,"Steven_D_Mullis",60495246,307.77,1,"T3",NA,"list(list(choice = ""IMPALA"", answers = list(HOWMANY = ""1"", WHATBEHAVIORSDOYOUSEE = list(""STANDING"", ""MOVING""), ARETHEREANYYOUNGPRESENT = ""NO""), filters = list()))",1,1,"IMPALA","1","NO",0,0,1,0,1,NA
"33",10457996,"Steven_D_Mullis",60495278,307.77,1,"T3",NA,"list()",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nothing Here"
"34",10459092,"Steven_D_Mullis",60495283,307.77,1,"T3",NA,"list()",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nothing Here"
"35",10459542,"Steven_D_Mullis",60495289,307.77,1,"T3",NA,"list()",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nothing Here"
"36",10461448,"Steven_D_Mullis",60495302,307.77,1,"T3",NA,"list()",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nothing Here"
"37",10462462,"Steven_D_Mullis",60495415,307.77,1,"T3",NA,"list(list(choice = ""ZEBRA"", answers = list(HOWMANY = ""2"", WHATBEHAVIORSDOYOUSEE = list(""STANDING"", ""MOVING"", ""EATING"")), filters = list()))",1,1,"ZEBRA","2",NA,1,0,1,0,1,NA
"38",10463953,"Steven_D_Mullis",60495456,307.77,1,"T3",NA,"list(list(choice = ""IMPALA"", answers = list(HOWMANY = ""2"", WHATBEHAVIORSDOYOUSEE = list(""STANDING"", ""MOVING""), ARETHEREANYYOUNGPRESENT = ""NO""), filters = list()))",1,1,"IMPALA","2","NO",0,0,1,0,1,NA
"39",10476365,"Steven_D_Mullis",60495477,307.77,1,"T3",NA,"list(list(choice = ""IMPALA"", answers = list(HOWMANY = ""2"", WHATBEHAVIORSDOYOUSEE = list(""STANDING"", ""MOVING""), ARETHEREANYYOUNGPRESENT = ""NO""), filters = list()))",1,1,"IMPALA","2","NO",0,0,1,0,1,NA
"40",10318308,"Steven_D_Mullis",60495480,307.77,1,"T3",NA,"list()",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nothing Here"
"41",10432886,"Steven_D_Mullis",60495490,307.77,1,"T3",NA,"list()",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nothing Here"
"42",10436021,"Steven_D_Mullis",60495499,307.77,1,"T3",NA,"list()",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nothing Here"
"43",10455191,"Steven_D_Mullis",60495543,307.77,1,"T3",NA,"list(list(choice = ""GIRAFFE"", answers = list(HOWMANY = ""2"", WHATBEHAVIORSDOYOUSEE = list(""STANDING""), ARETHEREANYYOUNGPRESENT = ""NO""), filters = list()))",1,1,"GIRAFFE","2","NO",0,0,0,0,1,NA
"44",10457790,"Steven_D_Mullis",60498322,307.77,1,"T3",NA,"list(list(choice = ""ZEBRA"", answers = list(HOWMANY = ""5"", WHATBEHAVIORSDOYOUSEE = list(""STANDING"", ""MOVING"", ""EATING"", ""INTERACTING""), ARETHEREANYYOUNGPRESENT = ""NO""), filters = list()), list(choice = ""IMPALA"", answers = list(HOWMANY = ""1"", WHATBEHAVIORSDOYOUSEE = list(""MOVING""), ARETHEREANYYOUNGPRESENT = ""NO""), filters = list()))",2,1,"ZEBRA","5","NO",1,1,1,0,1,NA
"45",10457790,"Steven_D_Mullis",60498322,307.77,1,"T3",NA,"list(list(choice = ""ZEBRA"", answers = list(HOWMANY = ""5"", WHATBEHAVIORSDOYOUSEE = list(""STANDING"", ""MOVING"", ""EATING"", ""INTERACTING""), ARETHEREANYYOUNGPRESENT = ""NO""), filters = list()), list(choice = ""IMPALA"", answers = list(HOWMANY = ""1"", WHATBEHAVIORSDOYOUSEE = list(""MOVING""), ARETHEREANYYOUNGPRESENT = ""NO""), filters = list()))",2,2,"IMPALA","1","NO",0,0,1,0,0,NA
"46",10461821,"Steven_D_Mullis",60498401,307.77,1,"T3",NA,"list(list(choice = ""IMPALA"", answers = list(HOWMANY = ""1"", WHATBEHAVIORSDOYOUSEE = list(""STANDING"", ""EATING""), ARETHEREANYYOUNGPRESENT = ""NO""), filters = list()))",1,1,"IMPALA","1","NO",1,0,0,0,1,NA
"47",10463255,"Steven_D_Mullis",60498589,307.77,1,"T3",NA,"list(list(choice = ""ZEBRA"", answers = list(HOWMANY = ""1"", WHATBEHAVIORSDOYOUSEE = list(""STANDING"", ""MOVING""), ARETHEREANYYOUNGPRESENT = ""NO""), filters = list()), list(choice = ""IMPALA"", answers = list(HOWMANY = ""1"", WHATBEHAVIORSDOYOUSEE = list(""STANDING""), ARETHEREANYYOUNGPRESENT = ""NO""), filters = list()))",2,1,"ZEBRA","1","NO",0,0,1,0,1,NA
"48",10463255,"Steven_D_Mullis",60498589,307.77,1,"T3",NA,"list(list(choice = ""ZEBRA"", answers = list(HOWMANY = ""1"", WHATBEHAVIORSDOYOUSEE = list(""STANDING"", ""MOVING""), ARETHEREANYYOUNGPRESENT = ""NO""), filters = list()), list(choice = ""IMPALA"", answers = list(HOWMANY = ""1"", WHATBEHAVIORSDOYOUSEE = list(""STANDING""), ARETHEREANYYOUNGPRESENT = ""NO""), filters = list()))",2,2,"IMPALA","1","NO",0,0,0,0,1,NA
"49",10463913,"Steven_D_Mullis",60498622,307.77,1,"T3",NA,"list(list(choice = ""ZEBRA"", answers = list(HOWMANY = ""2"", WHATBEHAVIORSDOYOUSEE = list(""STANDING"", ""EATING""), ARETHEREANYYOUNGPRESENT = ""NO""), filters = list()))",1,1,"ZEBRA","2","NO",1,0,0,0,1,NA
"50",10464799,"Steven_D_Mullis",60498668,307.77,1,"T3",NA,"list(list(choice = ""ZEBRA"", answers = list(HOWMANY = ""2"", WHATBEHAVIORSDOYOUSEE = list(""STANDING"", ""INTERACTING""), ARETHEREANYYOUNGPRESENT = ""NO""), filters = list()))",1,1,"ZEBRA","2","NO",0,1,0,0,1,NA
"51",10477149,"Steven_D_Mullis",60498724,307.77,1,"T3",NA,"list()",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nothing Here"
"52",10319438,"Steven_D_Mullis",60498814,307.77,1,"T3",NA,"list(list(choice = ""GIRAFFE"", answers = list(HOWMANY = ""2"", WHATBEHAVIORSDOYOUSEE = list(""STANDING"", ""MOVING""), ARETHEREANYYOUNGPRESENT = ""NO""), filters = list()))",1,1,"GIRAFFE","2","NO",0,0,1,0,1,NA
"53",10432643,"Steven_D_Mullis",60498819,307.77,1,"T3",NA,"list()",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nothing Here"
"54",10436555,"Steven_D_Mullis",60498832,307.77,1,"T3",NA,"list()",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nothing Here"
"55",10456306,"Steven_D_Mullis",60498862,307.77,1,"T3",NA,"list(list(choice = ""ZEBRA"", answers = list(HOWMANY = ""4"", WHATBEHAVIORSDOYOUSEE = list(""STANDING"", ""MOVING"", ""EATING"", ""INTERACTING""), ARETHEREANYYOUNGPRESENT = ""NO""), filters = list()))",1,1,"ZEBRA","4","NO",1,1,1,0,1,NA
"56",10459842,"Steven_D_Mullis",60498906,307.77,1,"T3",NA,"list(list(choice = ""IMPALA"", answers = list(HOWMANY = ""4"", WHATBEHAVIORSDOYOUSEE = list(""STANDING"", ""MOVING"", ""INTERACTING""), ARETHEREANYYOUNGPRESENT = ""NO""), filters = list()))",1,1,"IMPALA","4","NO",0,1,1,0,1,NA
"57",10460464,"Steven_D_Mullis",60498934,307.77,1,"T3",NA,"list()",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nothing Here"
"58",10464202,"Steven_D_Mullis",60498992,307.77,1,"T3",NA,"list(list(choice = ""IMPALA"", answers = list(HOWMANY = ""1"", WHATBEHAVIORSDOYOUSEE = list(""MOVING"", ""STANDING""), ARETHEREANYYOUNGPRESENT = ""NO""), filters = list()))",1,1,"IMPALA","1","NO",0,0,1,0,1,NA
"59",10464790,"Steven_D_Mullis",60499024,307.77,1,"T3",NA,"list(list(choice = ""ZEBRA"", answers = list(HOWMANY = ""5"", WHATBEHAVIORSDOYOUSEE = list(""STANDING"", ""MOVING""), ARETHEREANYYOUNGPRESENT = ""NO""), filters = list()))",1,1,"ZEBRA","5","NO",0,0,1,0,1,NA
"60",10465791,"Steven_D_Mullis",60499059,307.77,1,"T3",NA,"list(list(choice = ""IMPALA"", answers = list(HOWMANY = ""1"", WHATBEHAVIORSDOYOUSEE = list(""STANDING""), ARETHEREANYYOUNGPRESENT = ""NO""), filters = list()))",1,1,"IMPALA","1","NO",0,0,0,0,1,NA
"61",10477492,"Steven_D_Mullis",60499068,307.77,1,"T3",NA,"list()",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nothing Here"
"62",10433954,"Steven_D_Mullis",60499076,307.77,1,"T3",NA,"list()",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nothing Here"
"63",10434754,"Steven_D_Mullis",60499089,307.77,1,"T3",NA,"list()",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nothing Here"
"64",10436687,"Steven_D_Mullis",60499111,307.77,1,"T3",NA,"list()",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nothing Here"
"65",10454671,"Steven_D_Mullis",60499141,307.77,1,"T3",NA,"list(list(choice = ""IMPALA"", answers = list(HOWMANY = ""1"", WHATBEHAVIORSDOYOUSEE = list(""STANDING"", ""MOVING"")), filters = list()))",1,1,"IMPALA","1",NA,0,0,1,0,1,NA
"66",10431345,"not-logged-in-60e62366ce7b4fb9f3c1",60501867,307.77,1,"T3",NA,"list(list(choice = ""ZEBRA"", answers = list(HOWMANY = ""1"", WHATBEHAVIORSDOYOUSEE = list(""MOVING"", ""EATING""), ARETHEREANYYOUNGPRESENT = ""NO""), filters = list()))",1,1,"ZEBRA","1","NO",1,0,1,0,0,NA
"67",10431669,"not-logged-in-60e62366ce7b4fb9f3c1",60501889,307.77,1,"T3",NA,"list()",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nothing Here"
"68",10432826,"not-logged-in-60e62366ce7b4fb9f3c1",60501900,307.77,1,"T3",NA,"list()",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nothing Here"
"69",10434444,"not-logged-in-60e62366ce7b4fb9f3c1",60501905,307.77,1,"T3",NA,"list()",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nothing Here"
"70",10454348,"not-logged-in-60e62366ce7b4fb9f3c1",60501912,307.77,1,"T3",NA,"list()",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nothing Here"
"71",10433920,"not-logged-in-19db46f377c246c546c0",60526042,307.77,1,"T3",NA,"list()",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nothing Here"
"72",10434114,"not-logged-in-19db46f377c246c546c0",60526049,307.77,1,"T3",NA,"list()",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nothing Here"
"73",10454944,"not-logged-in-19db46f377c246c546c0",60526079,307.77,1,"T3",NA,"list(list(choice = ""IMPALA"", answers = list(HOWMANY = ""2"", WHATBEHAVIORSDOYOUSEE = list(""STANDING"", ""MOVING"", ""EATING"", ""INTERACTING""), ARETHEREANYYOUNGPRESENT = ""NO""), filters = list()))",1,1,"IMPALA","2","NO",1,1,1,0,1,NA
"74",10455022,"not-logged-in-19db46f377c246c546c0",60526106,307.77,1,"T3",NA,"list(list(choice = ""IMPALA"", answers = list(HOWMANY = ""1"", WHATBEHAVIORSDOYOUSEE = list(""STANDING"", ""MOVING""), ARETHEREANYYOUNGPRESENT = ""NO""), filters = list()))",1,1,"IMPALA","1","NO",0,0,1,0,1,NA
"75",10455726,"not-logged-in-19db46f377c246c546c0",60526119,307.77,1,"T3",NA,"list()",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nothing Here"
"76",10458044,"not-logged-in-19db46f377c246c546c0",60526146,307.77,1,"T3",NA,"list(list(choice = ""ZEBRA"", answers = list(HOWMANY = ""1"", WHATBEHAVIORSDOYOUSEE = list(""STANDING"", ""MOVING""), ARETHEREANYYOUNGPRESENT = ""NO""), filters = list()))",1,1,"ZEBRA","1","NO",0,0,1,0,1,NA
"77",10460565,"not-logged-in-19db46f377c246c546c0",60526153,307.77,1,"T3",NA,"list()",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nothing Here"
"78",10460756,"not-logged-in-19db46f377c246c546c0",60526156,307.77,1,"T3",NA,"list()",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nothing Here"
"79",10465740,"not-logged-in-19db46f377c246c546c0",60526259,307.77,1,"T3",NA,"list(list(choice = ""IMPALA"", answers = list(HOWMANY = ""1"", WHATBEHAVIORSDOYOUSEE = list(""STANDING"", ""MOVING""), ARETHEREANYYOUNGPRESENT = ""NO""), filters = list()))",1,1,"IMPALA","1","NO",0,0,1,0,1,NA
"80",10476304,"not-logged-in-19db46f377c246c546c0",60526355,307.77,1,"T3",NA,"list()",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nothing Here"
"81",10319155,"not-logged-in-19db46f377c246c546c0",60526377,307.77,1,"T3",NA,"list()",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nothing Here"
"82",10431195,"not-logged-in-19db46f377c246c546c0",60527274,307.77,1,"T3",NA,"list()",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nothing Here"
"83",10454356,"not-logged-in-19db46f377c246c546c0",60527288,307.77,1,"T3",NA,"list(list(choice = ""ELEPHANT"", answers = list(HOWMANY = ""1"", WHATBEHAVIORSDOYOUSEE = list(""STANDING"", ""MOVING""), ARETHEREANYYOUNGPRESENT = ""NO""), filters = list()))",1,1,"ELEPHANT","1","NO",0,0,1,0,1,NA
"84",10454562,"not-logged-in-19db46f377c246c546c0",60527294,307.77,1,"T3",NA,"list()",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nothing Here"
"85",10456563,"not-logged-in-19db46f377c246c546c0",60527324,307.77,1,"T3",NA,"list(list(choice = ""ZEBRA"", answers = list(HOWMANY = ""2"", WHATBEHAVIORSDOYOUSEE = list(""STANDING"", ""MOVING""), ARETHEREANYYOUNGPRESENT = ""NO""), filters = list()))",1,1,"ZEBRA","2","NO",0,0,1,0,1,NA
"86",10457047,"not-logged-in-19db46f377c246c546c0",60527358,307.77,1,"T3",NA,"list(list(choice = ""ELEPHANT"", answers = list(HOWMANY = ""4"", WHATBEHAVIORSDOYOUSEE = list(""STANDING"", ""MOVING"", ""INTERACTING""), ARETHEREANYYOUNGPRESENT = ""NO""), filters = list()))",1,1,"ELEPHANT","4","NO",0,1,1,0,1,NA
"87",10457070,"not-logged-in-19db46f377c246c546c0",60527375,307.77,1,"T3",NA,"list(list(choice = ""ZEBRA"", answers = list(HOWMANY = ""1"", WHATBEHAVIORSDOYOUSEE = list(""STANDING"", ""MOVING""), ARETHEREANYYOUNGPRESENT = ""NO""), filters = list()))",1,1,"ZEBRA","1","NO",0,0,1,0,1,NA
"88",10461254,"not-logged-in-19db46f377c246c546c0",60527403,307.77,1,"T3",NA,"list()",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nothing Here"
"89",10476195,"not-logged-in-19db46f377c246c546c0",60527448,307.77,1,"T3",NA,"list(list(choice = ""IMPALA"", answers = list(HOWMANY = ""2"", WHATBEHAVIORSDOYOUSEE = list(""STANDING"", ""MOVING"", ""EATING""), ARETHEREANYYOUNGPRESENT = ""NO""), filters = list()))",1,1,"IMPALA","2","NO",1,0,1,0,1,NA
"90",10477146,"not-logged-in-19db46f377c246c546c0",60527457,307.77,1,"T3",NA,"list()",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nothing Here"
"91",10433099,"not-logged-in-19db46f377c246c546c0",60527491,307.77,1,"T3",NA,"list()",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nothing Here"
"92",10454573,"not-logged-in-19db46f377c246c546c0",60527494,307.77,1,"T3",NA,"list()",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nothing Here"
"93",10455961,"not-logged-in-19db46f377c246c546c0",60527608,307.77,1,"T3",NA,"list(list(choice = ""ZEBRA"", answers = list(HOWMANY = ""2"", WHATBEHAVIORSDOYOUSEE = list(""STANDING"", ""MOVING""), ARETHEREANYYOUNGPRESENT = ""NO""), filters = list()))",1,1,"ZEBRA","2","NO",0,0,1,0,1,NA
"94",10457295,"not-logged-in-19db46f377c246c546c0",60527636,307.77,1,"T3",NA,"list(list(choice = ""LIVESTOCK"", answers = list(HOWMANY = ""10"", WHATBEHAVIORSDOYOUSEE = list(""STANDING"", ""MOVING"", ""EATING"", ""INTERACTING""), ARETHEREANYYOUNGPRESENT = ""NO""), filters = list()))",1,1,"LIVESTOCK","10","NO",1,1,1,0,1,NA
"95",10458877,"not-logged-in-19db46f377c246c546c0",60527678,307.77,1,"T3",NA,"list(list(choice = ""IMPALA"", answers = list(HOWMANY = ""7"", WHATBEHAVIORSDOYOUSEE = list(""STANDING"", ""RESTING"", ""MOVING"", ""EATING"", ""INTERACTING""), ARETHEREANYYOUNGPRESENT = ""NO""), filters = list()))",1,1,"IMPALA","7","NO",1,1,1,1,1,NA
"96",10459592,"not-logged-in-19db46f377c246c546c0",60527685,307.77,1,"T3",NA,"list()",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nothing Here"
"97",10462480,"not-logged-in-19db46f377c246c546c0",60527741,307.77,1,"T3",NA,"list(list(choice = ""IMPALA"", answers = list(HOWMANY = ""1"", WHATBEHAVIORSDOYOUSEE = list(""STANDING""), ARETHEREANYYOUNGPRESENT = ""NO""), filters = list()))",1,1,"IMPALA","1","NO",0,0,0,0,1,NA
"98",10462859,"not-logged-in-19db46f377c246c546c0",60527749,307.77,1,"T3",NA,"list()",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nothing Here"
"99",10477137,"not-logged-in-19db46f377c246c546c0",60527761,307.77,1,"T3",NA,"list()",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nothing Here"
"100",10478254,"not-logged-in-19db46f377c246c546c0",60527798,307.77,1,"T3",NA,"list(list(choice = ""HUMAN"", answers = list(WHATBEHAVIORSDOYOUSEE = list(""STANDING"", ""MOVING""), ARETHEREANYYOUNGPRESENT = ""NO""), filters = list()))",1,1,"HUMAN",NA,"NO",0,0,1,0,1,NA
"101",10320426,"not-logged-in-19db46f377c246c546c0",60527844,307.77,1,"T3",NA,"list(list(choice = ""HUMAN"", answers = list(WHATBEHAVIORSDOYOUSEE = list(""MOVING""), ARETHEREANYYOUNGPRESENT = ""NO""), filters = list()))",1,1,"HUMAN",NA,"NO",0,0,1,0,0,NA
"102",10432861,"not-logged-in-19db46f377c246c546c0",60527854,307.77,1,"T3",NA,"list()",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nothing Here"
"103",10431834,"aliburchard",60542950,307.77,1,"T3",NA,"list()",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nothing Here"
"104",10432134,"aliburchard",60542956,307.77,1,"T3",NA,"list()",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nothing Here"
"105",10434035,"aliburchard",60542963,307.77,1,"T3",NA,"list()",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nothing Here"
"106",10454659,"aliburchard",60542988,307.77,1,"T3",NA,"list(list(choice = ""ZEBRA"", answers = list(HOWMANY = ""1"", WHATBEHAVIORSDOYOUSEE = list(""RESTING"", ""STANDING"")), filters = list()))",1,1,"ZEBRA","1",NA,0,0,0,1,1,NA
"107",10454945,"aliburchard",60544468,307.77,1,"T3",NA,"list(list(choice = ""IMPALA"", answers = list(HOWMANY = ""2"", WHATBEHAVIORSDOYOUSEE = list(""STANDING"", ""EATING"")), filters = list()))",1,1,"IMPALA","2",NA,1,0,0,0,1,NA
"108",10455360,"aliburchard",60544478,307.77,1,"T3",NA,"list()",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nothing Here"
"109",10457594,"aliburchard",60544485,307.77,1,"T3",NA,"list()",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nothing Here"
"110",10459443,"aliburchard",60544492,307.77,1,"T3",NA,"list()",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nothing Here"
"111",10461129,"aliburchard",60544501,307.77,1,"T3",NA,"list(list(choice = ""ZEBRA"", answers = list(HOWMANY = ""1"", WHATBEHAVIORSDOYOUSEE = list(""MOVING"")), filters = list()))",1,1,"ZEBRA","1",NA,0,0,1,0,0,NA
"112",10463452,"aliburchard",60544506,307.77,1,"T3",NA,"list()",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nothing Here"
